Year,Host,Host Continent,Host Flag,Winner,Winner Continent,Winner Flag,Runners-Up,Runners-Up Continent,Runners-Up Flag,Third,Third Continent,Third Flag,Fourth,Fourth Continent,Fourth Flag,GoalsScored,QualifiedTeams,MatchesPlayed,Attendance
1930,Uruguay,South America,https://upload.wikimedia.org/wikipedia/commons/f/fe/Flag_of_Uruguay.svg,Uruguay,South America,https://upload.wikimedia.org/wikipedia/commons/f/fe/Flag_of_Uruguay.svg,Argentina,South America,https://upload.wikimedia.org/wikipedia/commons/1/1a/Flag_of_Argentina.svg,USA,North America,https://upload.wikimedia.org/wikipedia/en/a/a4/Flag_of_the_United_States.svg,Yugoslavia,Europe,https://upload.wikimedia.org/wikipedia/commons/6/63/Flag_of_Yugoslavia_%281945%E2%80%931992%29.svg,70,13,18,"5,90,549"
1934,Italy,Europe,https://upload.wikimedia.org/wikipedia/en/0/03/Flag_of_Italy.svg,Italy,Europe,https://upload.wikimedia.org/wikipedia/en/0/03/Flag_of_Italy.svg,Czechoslovakia,Europe,https://upload.wikimedia.org/wikipedia/commons/c/cb/Flag_of_the_Czech_Republic.svg,Germany,Europe,https://upload.wikimedia.org/wikipedia/en/b/ba/Flag_of_Germany.svg,Austria,Europe,https://upload.wikimedia.org/wikipedia/commons/4/41/Flag_of_Austria.svg,70,16,17,"3,63,000"
1938,France,Europe,https://upload.wikimedia.org/wikipedia/en/c/c3/Flag_of_France.svg,Italy,Europe,https://upload.wikimedia.org/wikipedia/en/0/03/Flag_of_Italy.svg,Hungary,Europe,https://upload.wikimedia.org/wikipedia/commons/c/c1/Flag_of_Hungary.svg,Brazil,South America,https://upload.wikimedia.org/wikipedia/en/0/05/Flag_of_Brazil.svg,Sweden,Europe,https://upload.wikimedia.org/wikipedia/en/4/4c/Flag_of_Sweden.svg,84,15,18,"3,75,700"
1950,Brazil,South America,https://upload.wikimedia.org/wikipedia/en/0/05/Flag_of_Brazil.svg,Uruguay,South America,https://upload.wikimedia.org/wikipedia/commons/f/fe/Flag_of_Uruguay.svg,Brazil,South America,https://upload.wikimedia.org/wikipedia/en/0/05/Flag_of_Brazil.svg,Sweden,Europe,https://upload.wikimedia.org/wikipedia/en/4/4c/Flag_of_Sweden.svg,Spain,Europe,https://upload.wikimedia.org/wikipedia/en/9/9a/Flag_of_Spain.svg,88,13,22,"10,45,246"
1954,Switzerland,Europe,https://upload.wikimedia.org/wikipedia/commons/f/f3/Flag_of_Switzerland.svg,Germany FR,Europe,https://upload.wikimedia.org/wikipedia/en/b/ba/Flag_of_Germany.svg,Hungary,Europe,https://upload.wikimedia.org/wikipedia/commons/c/c1/Flag_of_Hungary.svg,Austria,Europe,https://upload.wikimedia.org/wikipedia/commons/4/41/Flag_of_Austria.svg,Uruguay,South America,https://upload.wikimedia.org/wikipedia/commons/f/fe/Flag_of_Uruguay.svg,140,16,26,"7,68,607"
1958,Sweden,Europe,https://upload.wikimedia.org/wikipedia/en/4/4c/Flag_of_Sweden.svg,Brazil,South America,https://upload.wikimedia.org/wikipedia/en/0/05/Flag_of_Brazil.svg,Sweden,Europe,https://upload.wikimedia.org/wikipedia/en/4/4c/Flag_of_Sweden.svg,France,Europe,https://upload.wikimedia.org/wikipedia/en/c/c3/Flag_of_France.svg,Germany FR,Europe,https://upload.wikimedia.org/wikipedia/en/b/ba/Flag_of_Germany.svg,126,16,35,"8,19,810"
1962,Chile,South America,https://upload.wikimedia.org/wikipedia/commons/7/78/Flag_of_Chile.svg,Brazil,South America,https://upload.wikimedia.org/wikipedia/en/0/05/Flag_of_Brazil.svg,Czechoslovakia,Europe,https://upload.wikimedia.org/wikipedia/commons/c/cb/Flag_of_the_Czech_Republic.svg,Chile,South America,https://upload.wikimedia.org/wikipedia/commons/7/78/Flag_of_Chile.svg,Yugoslavia,Europe,https://upload.wikimedia.org/wikipedia/commons/6/63/Flag_of_Yugoslavia_%281945%E2%80%931992%29.svg,89,16,32,"8,93,172"
1966,England,Europe,https://upload.wikimedia.org/wikipedia/en/b/be/Flag_of_England.svg,England,Europe,https://upload.wikimedia.org/wikipedia/en/b/be/Flag_of_England.svg,Germany FR,Europe,https://upload.wikimedia.org/wikipedia/en/b/ba/Flag_of_Germany.svg,Portugal,Europe,https://upload.wikimedia.org/wikipedia/commons/5/5c/Flag_of_Portugal.svg,Soviet Union,Europe/Asia,https://upload.wikimedia.org/wikipedia/commons/a/a9/Flag_of_the_Soviet_Union.svg,89,16,32,"15,63,135"
1970,Mexico,North America,https://upload.wikimedia.org/wikipedia/commons/f/fc/Flag_of_Mexico.svg,Brazil,South America,https://upload.wikimedia.org/wikipedia/en/0/05/Flag_of_Brazil.svg,Italy,Europe,https://upload.wikimedia.org/wikipedia/en/0/03/Flag_of_Italy.svg,Germany FR,Europe,https://upload.wikimedia.org/wikipedia/en/b/ba/Flag_of_Germany.svg,Uruguay,South America,https://upload.wikimedia.org/wikipedia/commons/f/fe/Flag_of_Uruguay.svg,95,16,32,"16,03,975"
1974,Germany,Europe,https://upload.wikimedia.org/wikipedia/en/b/ba/Flag_of_Germany.svg,Germany FR,Europe,https://upload.wikimedia.org/wikipedia/en/b/ba/Flag_of_Germany.svg,Netherlands,Europe,https://upload.wikimedia.org/wikipedia/commons/2/20/Flag_of_the_Netherlands.svg,Poland,Europe,https://upload.wikimedia.org/wikipedia/en/1/12/Flag_of_Poland.svg,Brazil,South America,https://upload.wikimedia.org/wikipedia/en/0/05/Flag_of_Brazil.svg,97,16,38,"18,65,753"
1978,Argentina,South America,https://upload.wikimedia.org/wikipedia/commons/1/1a/Flag_of_Argentina.svg,Argentina,South America,https://upload.wikimedia.org/wikipedia/commons/1/1a/Flag_of_Argentina.svg,Netherlands,Europe,https://upload.wikimedia.org/wikipedia/commons/2/20/Flag_of_the_Netherlands.svg,Brazil,South America,https://upload.wikimedia.org/wikipedia/en/0/05/Flag_of_Brazil.svg,Italy,Europe,https://upload.wikimedia.org/wikipedia/en/0/03/Flag_of_Italy.svg,102,16,38,"15,45,791"
1982,Spain,Europe,https://upload.wikimedia.org/wikipedia/en/9/9a/Flag_of_Spain.svg,Italy,Europe,https://upload.wikimedia.org/wikipedia/en/0/03/Flag_of_Italy.svg,Germany FR,Europe,https://upload.wikimedia.org/wikipedia/en/b/ba/Flag_of_Germany.svg,Poland,Europe,https://upload.wikimedia.org/wikipedia/en/1/12/Flag_of_Poland.svg,France,Europe,https://upload.wikimedia.org/wikipedia/en/c/c3/Flag_of_France.svg,146,24,52,"21,09,723"
1986,Mexico,North America,https://upload.wikimedia.org/wikipedia/commons/f/fc/Flag_of_Mexico.svg,Argentina,South America,https://upload.wikimedia.org/wikipedia/commons/1/1a/Flag_of_Argentina.svg,Germany FR,Europe,https://upload.wikimedia.org/wikipedia/en/b/ba/Flag_of_Germany.svg,France,Europe,https://upload.wikimedia.org/wikipedia/en/c/c3/Flag_of_France.svg,Belgium,Europe,https://upload.wikimedia.org/wikipedia/commons/6/65/Flag_of_Belgium.svg,132,24,52,"23,94,031"
1990,Italy,Europe,https://upload.wikimedia.org/wikipedia/en/0/03/Flag_of_Italy.svg,Germany FR,Europe,https://upload.wikimedia.org/wikipedia/en/b/ba/Flag_of_Germany.svg,Argentina,South America,https://upload.wikimedia.org/wikipedia/commons/1/1a/Flag_of_Argentina.svg,Italy,Europe,https://upload.wikimedia.org/wikipedia/en/0/03/Flag_of_Italy.svg,England,Europe,https://upload.wikimedia.org/wikipedia/en/b/be/Flag_of_England.svg,115,24,52,"25,16,215"
1994,USA,North America,https://upload.wikimedia.org/wikipedia/en/a/a4/Flag_of_the_United_States.svg,Brazil,South America,https://upload.wikimedia.org/wikipedia/en/0/05/Flag_of_Brazil.svg,Italy,Europe,https://upload.wikimedia.org/wikipedia/en/0/03/Flag_of_Italy.svg,Sweden,Europe,https://upload.wikimedia.org/wikipedia/en/4/4c/Flag_of_Sweden.svg,Bulgaria,Europe,https://upload.wikimedia.org/wikipedia/commons/9/9a/Flag_of_Bulgaria.svg,141,24,52,"35,87,538"
1998,France,Europe,https://upload.wikimedia.org/wikipedia/en/c/c3/Flag_of_France.svg,France,Europe,https://upload.wikimedia.org/wikipedia/en/c/c3/Flag_of_France.svg,Brazil,South America,https://upload.wikimedia.org/wikipedia/en/0/05/Flag_of_Brazil.svg,Croatia,Europe,https://upload.wikimedia.org/wikipedia/commons/1/1b/Flag_of_Croatia.svg,Netherlands,Europe,https://upload.wikimedia.org/wikipedia/commons/2/20/Flag_of_the_Netherlands.svg,171,32,64,"27,85,100"
2002,Japan,Asia,https://upload.wikimedia.org/wikipedia/en/9/9e/Flag_of_Japan.svg,Brazil,South America,https://upload.wikimedia.org/wikipedia/en/0/05/Flag_of_Brazil.svg,Germany,Europe,https://upload.wikimedia.org/wikipedia/en/b/ba/Flag_of_Germany.svg,Turkey,Europe/Asia,https://upload.wikimedia.org/wikipedia/commons/b/b4/Flag_of_Turkey.svg,Korea Republic,Asia,https://upload.wikimedia.org/wikipedia/commons/0/09/Flag_of_South_Korea.svg,161,32,64,"27,05,197"
2006,Germany,Europe,https://upload.wikimedia.org/wikipedia/en/b/ba/Flag_of_Germany.svg,Italy,Europe,https://upload.wikimedia.org/wikipedia/en/0/03/Flag_of_Italy.svg,France,Europe,https://upload.wikimedia.org/wikipedia/en/c/c3/Flag_of_France.svg,Germany,Europe,https://upload.wikimedia.org/wikipedia/en/b/ba/Flag_of_Germany.svg,Portugal,Europe,https://upload.wikimedia.org/wikipedia/commons/5/5c/Flag_of_Portugal.svg,147,32,64,"33,59,439"
2010,South Africa,Africa,https://upload.wikimedia.org/wikipedia/commons/a/af/Flag_of_South_Africa.svg,Spain,Europe,https://upload.wikimedia.org/wikipedia/en/9/9a/Flag_of_Spain.svg,Netherlands,Europe,https://upload.wikimedia.org/wikipedia/commons/2/20/Flag_of_the_Netherlands.svg,Germany,Europe,https://upload.wikimedia.org/wikipedia/en/b/ba/Flag_of_Germany.svg,Uruguay,South America,https://upload.wikimedia.org/wikipedia/commons/f/fe/Flag_of_Uruguay.svg,145,32,64,"31,78,856"
2014,Brazil,South America,https://upload.wikimedia.org/wikipedia/en/0/05/Flag_of_Brazil.svg,Germany,Europe,https://upload.wikimedia.org/wikipedia/en/b/ba/Flag_of_Germany.svg,Argentina,South America,https://upload.wikimedia.org/wikipedia/commons/1/1a/Flag_of_Argentina.svg,Netherlands,Europe,https://upload.wikimedia.org/wikipedia/commons/2/20/Flag_of_the_Netherlands.svg,Brazil,South America,https://upload.wikimedia.org/wikipedia/en/0/05/Flag_of_Brazil.svg,171,32,64,"33,86,810"
